dir,original,smiles,conf,method,energy,reactive
0,C(=O)C,C(=O)C,conf_22,MACE-MP,-210.498383,False
1,O=O,O=O,conf_8,MACE-MP,-181.065186,False
2,[*],,,
3,O(O[{M}])[{M}],O(O[*])[*],conf_19,MACE-MP,-181.052887,False
4,C(O[{M}])([{M}])C,C(O[*])([*])C,conf_5,MACE-MP,-210.522324,False
5,[{M}]O[{M}],[*]O[*],conf_3,MACE-MP,-176.129028,False
6,C(O[{M}])([{M}])[{M}],C(O[*])([*])[*],conf_38,MACE-MP,-189.578751,False
7,[{M}]C,[*]C,conf_18,MACE-MP,-190.791031,False
8,C(O[{M}])([{M}])([{M}])C,C(O[*])([*])([*])C,conf_31,MACE-MP,-206.562744,False
9,O([{M}])O,O([*])O,conf_17,MACE-MP,-185.240738,False
10,C(O[{M}])(C[{M}])[{M}],C(O[*])(C[*])[*],conf_49,MACE-MP,-206.467834,False
11,[{M}H],[H],conf_3,MACE-MP,-174.420166,False
12,[{M}]O,[*]O,conf_11,MACE-MP,-181.160110,False
13,C(O[{M}])(O[{M}])C,C(O[*])(O[*])C,conf_36,MACE-MP,-218.039719,False
14,O=C[{M}],O=C[*],conf_11,MACE-MP,-189.594086,False
15,C(O[{M}])([{M}])([{M}])[{M}],C(O[*])([*])([*])[*],conf_21,MACE-MP,-186.280640,False
16,C(O[{M}])(O[{M}])[{M}],C(O[*])(O[*])[*],conf_24,MACE-MP,-197.595352,False
17,[{M}]C[{M}],[*]C[*],conf_6,MACE-MP,-186.160355,False
18,O([{M}])C,O([*])C,conf_18,MACE-MP,-197.493805,False
19,C(=O)([{M}])C,C(=O)([*])C,conf_7,MACE-MP,-206.546921,False
20,C(O[{M}])(C[{M}])([{M}])[{M}],C(O[*])(C[*])([*])[*],conf_2,MACE-MP,-202.606277,False
21,C(O[{M}])(O[{M}])([{M}])C,C(O[*])(O[*])([*])C,conf_69,MACE-MP,-214.379669,False
22,OO,OO,conf_41,MACE-MP,-189.600204,False
23,C(=O)C[{M}],C(=O)C[*],conf_3,MACE-MP,-206.435883,False
24,C(C(O[{M}])[{M}])([{M}])[{M}],C(C(O[*])[*])([*])[*],conf_67,MACE-MP,-202.296982,False
25,C(O[{M}])(CO[{M}])[{M}],C(O[*])(CO[*])[*],conf_47,MACE-MP,-212.844925,False
26,C(O[{M}])(O[{M}])C[{M}],C(O[*])(O[*])C[*],conf_27,MACE-MP,-212.547058,False
27,C([{M}])(O)C,C([*])(O)C,conf_0,MACE-MP,-214.195816,False
28,C([{M}])([{M}])O,C([*])([*])O,conf_8,MACE-MP,-192.766632,False
29,C([{M}])([{M}])(O)C,C([*])([*])(O)C,conf_8,MACE-MP,-209.674179,False
30,C(C[{M}])([{M}])O,C(C[*])([*])O,conf_31,MACE-MP,-210.133606,False
31,O,O,conf_3,MACE-MP,-185.708191,False
32,C(O[{M}])(O)C,C(O[*])(O)C,conf_12,MACE-MP,-221.138535,False
33,C(O[{M}])([{M}])O,C(O[*])([*])O,conf_23,MACE-MP,-201.263779,False
34,OC,OC,conf_2,MACE-MP,-201.780487,False
35,C(O[{M}])([{M}])(O)C,C(O[*])([*])(O)C,conf_5,MACE-MP,-218.120514,False
36,C(CO)(O[{M}])[{M}],C(CO)(O[*])[*],conf_38,MACE-MP,-217.110901,False
37,C(O[{M}])(C[{M}])O,C(O[*])(C[*])O,conf_45,MACE-MP,-216.496216,False
38,C(=O)([{M}])[{M}],C(=O)([*])[*],conf_9,MACE-MP,-186.281250,False
39,C(=O)O[{M}],C(=O)O[*],conf_4,MACE-MP,-197.615921,False
40,O=CO,O=CO,conf_34,MACE-MP,-201.201859,False
41,C(O[{M}])(O[{M}])([{M}])[{M}],C(O[*])(O[*])([*])[*],conf_71,MACE-MP,-194.033295,False
42,C(O[{M}])([{M}])([{M}])O,C(O[*])([*])([*])O,conf_42,MACE-MP,-196.788391,False
43,C([{M}])([{M}])([{M}])O,C([*])([*])([*])O,conf_19,MACE-MP,-188.598160,False
44,C(O[{M}])(O[{M}])O[{M}],C(O[*])(O[*])O[*],conf_13,MACE-MP,-204.716217,False
45,C(O[{M}])(O[{M}])O,C(O[*])(O[*])O,conf_40,MACE-MP,-208.405746,False
46,C([{M}])([{M}])[{M}],C([*])([*])[*],conf_11,MACE-MP,-181.474106,False
