       Step     Time          Energy          fmax
LBFGS:    0 15:22:30    -4442.057589       18.340491
LBFGS:    1 15:22:44    -4443.709008        8.679147
LBFGS:    2 15:22:58    -4445.079264        4.052353
LBFGS:    3 15:23:13    -4445.919317        6.191494
LBFGS:    4 15:23:27    -4446.738858        2.477776
LBFGS:    5 15:23:42    -4447.251451        2.716545
LBFGS:    6 15:23:57    -4447.586166        3.855373
LBFGS:    7 15:24:11    -4447.973944        3.314698
LBFGS:    8 15:24:26    -4448.255405        1.159988
LBFGS:    9 15:24:40    -4448.363093        1.168858
LBFGS:   10 15:24:54    -4448.533428        1.179549
LBFGS:   11 15:25:08    -4448.662512        1.169083
LBFGS:   12 15:25:22    -4448.768938        1.123691
LBFGS:   13 15:25:35    -4448.863644        1.011692
LBFGS:   14 15:25:45    -4448.954970        0.954086
LBFGS:   15 15:25:56    -4449.020533        0.935552
LBFGS:   16 15:26:06    -4449.038635        0.777289
LBFGS:   17 15:26:16    -4449.048780        0.435248
LBFGS:   18 15:26:25    -4449.053091        0.276482
LBFGS:   19 15:26:34    -4449.057618        0.146636
