       Step     Time          Energy          fmax
LBFGS:    0 12:16:57     -150.055435        3.431169
LBFGS:    1 12:17:01     -150.224014        2.203334
LBFGS:    2 12:17:05     -150.415634        2.982761
LBFGS:    3 12:17:07     -150.561707        2.073838
LBFGS:    4 12:17:10     -150.761597        1.146401
LBFGS:    5 12:17:13     -150.814224        1.085126
LBFGS:    6 12:17:16     -150.985138        1.338585
LBFGS:    7 12:17:19     -151.102539        1.277415
LBFGS:    8 12:17:22     -151.194336        1.190303
LBFGS:    9 12:17:25     -151.262329        1.011881
LBFGS:   10 12:17:27     -151.331421        0.796607
LBFGS:   11 12:17:30     -151.366501        0.869733
LBFGS:   12 12:17:33     -151.386993        0.614420
LBFGS:   13 12:17:36     -151.415787        0.385941
LBFGS:   14 12:17:39     -151.428329        0.378674
LBFGS:   15 12:17:42     -151.444641        0.381035
LBFGS:   16 12:17:44     -151.460785        0.411594
LBFGS:   17 12:17:47     -151.473846        0.382109
LBFGS:   18 12:17:50     -151.487793        0.401161
LBFGS:   19 12:17:53     -151.496613        0.381919
LBFGS:   20 12:17:56     -151.544769        0.439578
LBFGS:   21 12:17:59     -151.573807        0.590120
LBFGS:   22 12:18:01     -151.617294        0.804073
LBFGS:   23 12:18:04     -151.658707        0.870450
LBFGS:   24 12:18:07     -151.707672        1.012190
LBFGS:   25 12:18:10     -151.768356        1.552851
LBFGS:   26 12:18:13     -151.822845        1.012247
LBFGS:   27 12:18:16     -151.845749        1.677473
LBFGS:   28 12:18:19     -151.898895        0.676142
LBFGS:   29 12:18:21     -151.909775        0.398133
LBFGS:   30 12:18:24     -151.916168        0.231145
LBFGS:   31 12:18:27     -151.925934        0.278806
LBFGS:   32 12:18:30     -151.932922        0.276390
LBFGS:   33 12:18:33     -151.939117        0.212168
LBFGS:   34 12:18:36     -151.943604        0.223477
LBFGS:   35 12:18:39     -151.948074        0.202576
LBFGS:   36 12:18:41     -151.950912        0.198312
