      Step     Time          Energy          fmax
FIRE:    0 15:49:20      -26.626328       92.806572
FIRE:    1 15:49:20      -35.926195       15.983645
FIRE:    2 15:49:20      -36.624032       18.391396
FIRE:    3 15:49:20      -37.617584        9.314059
FIRE:    4 15:49:20      -38.188145        4.177428
FIRE:    5 15:49:20      -38.410909        5.869575
FIRE:    6 15:49:20      -38.637360        5.725395
FIRE:    7 15:49:20      -38.904801        4.456714
FIRE:    8 15:49:20      -39.130161        3.035964
FIRE:    9 15:49:20      -39.278262        1.964108
