       Step     Time          Energy          fmax
LBFGS:    0 12:21:42     -153.626968        1.494577
LBFGS:    1 12:21:44     -153.653122        0.389257
LBFGS:    2 12:21:46     -153.659790        0.375704
LBFGS:    3 12:21:48     -153.670853        0.318548
LBFGS:    4 12:21:51     -153.680740        0.404423
LBFGS:    5 12:21:53     -153.686813        0.404309
LBFGS:    6 12:21:55     -153.692261        0.324282
LBFGS:    7 12:21:57     -153.697205        0.276399
LBFGS:    8 12:21:59     -153.700089        0.288613
LBFGS:    9 12:22:01     -153.721451        0.279432
LBFGS:   10 12:22:04     -153.724319        0.221642
LBFGS:   11 12:22:06     -153.727127        0.178603
