       Step     Time          Energy          fmax
LBFGS:    0 12:07:43     -153.943756        1.785150
LBFGS:    1 12:07:45     -153.981888        0.893007
LBFGS:    2 12:07:48     -154.019516        0.760943
LBFGS:    3 12:07:50     -154.047073        0.655744
LBFGS:    4 12:07:53     -154.064636        0.650783
LBFGS:    5 12:07:55     -154.093628        0.481127
LBFGS:    6 12:07:57     -154.112854        0.502932
LBFGS:    7 12:07:59     -154.142670        0.745365
LBFGS:    8 12:08:02     -154.181839        0.937404
LBFGS:    9 12:08:04     -154.231277        0.828075
LBFGS:   10 12:08:07     -154.263046        0.373348
LBFGS:   11 12:08:09     -154.270660        0.188462
