      Step     Time          Energy          fmax
FIRE:    0 12:16:53       -5.263689      235.459582
FIRE:    1 12:16:53      -30.402662       52.869422
FIRE:    2 12:16:53      -35.283213       15.952887
FIRE:    3 12:16:53      -35.751560       25.863834
FIRE:    4 12:16:53      -37.914924        9.366225
FIRE:    5 12:16:53      -39.028783        6.205089
FIRE:    6 12:16:53      -39.701232        5.383566
FIRE:    7 12:16:53      -40.286817        4.534752
FIRE:    8 12:16:53      -40.716714        3.216241
FIRE:    9 12:16:53      -40.901516        3.137612
FIRE:   10 12:16:53      -40.927365        4.497706
FIRE:   11 12:16:53      -40.949971        4.410780
FIRE:   12 12:16:53      -40.993492        4.232803
FIRE:   13 12:16:53      -41.054580        3.958232
FIRE:   14 12:16:53      -41.128393        3.585186
FIRE:   15 12:16:53      -41.209074        3.121649
