       Step     Time          Energy          fmax
LBFGS:    0 12:21:06     -151.242325        1.908694
LBFGS:    1 12:21:10     -151.312042        1.109253
LBFGS:    2 12:21:13     -151.368927        0.748114
LBFGS:    3 12:21:16     -151.408478        0.800154
LBFGS:    4 12:21:19     -151.436462        0.761566
LBFGS:    5 12:21:22     -151.460602        0.511538
LBFGS:    6 12:21:25     -151.483200        0.516370
LBFGS:    7 12:21:28     -151.500671        0.598075
LBFGS:    8 12:21:30     -151.526108        0.583214
LBFGS:    9 12:21:33     -151.570618        0.747351
LBFGS:   10 12:21:36     -151.610687        0.752580
LBFGS:   11 12:21:39     -151.639038        0.643219
LBFGS:   12 12:21:42     -151.661514        0.491025
LBFGS:   13 12:21:44     -151.680878        0.611035
LBFGS:   14 12:21:47     -151.701630        0.739124
LBFGS:   15 12:21:50     -151.723969        0.694629
LBFGS:   16 12:21:53     -151.746124        0.456125
LBFGS:   17 12:21:56     -151.760696        0.306355
LBFGS:   18 12:21:58     -151.767960        0.291309
LBFGS:   19 12:22:01     -151.780090        0.416731
LBFGS:   20 12:22:04     -151.798325        0.396863
LBFGS:   21 12:22:07     -151.812393        0.320168
LBFGS:   22 12:22:10     -151.819244        0.261567
LBFGS:   23 12:22:12     -151.823578        0.149841
